ID	Region	Stratum	Reference	Pixarea	Map
1	SEA-AUS	10	1	0.000637793	1
2	EUR	2	0	0.000430062	0
3	AFR	1	0	0.00074926	0
4	LAM	3	0	0.000732794	0
5	LAM	8	1	0.000743643	1
6	LAM	3	0	0.000766086	0
7	LAM	8	0	0.000762473	0
8	SEA-AUS	10	1	0.000626077	1
9	LAM	3	0	0.000759622	0
10	SEA-AUS	10	1	0.000769286	1
11	EUR	2	0	0.00060334	0
12	AFR	6	0	0.000703913	0
13	LAM	3	0	0.000748342	0
14	LAM	3	0	0.00076775	0
15	EUR	7	1	0.00045062	1
16	AFR	6	1	0.000641421	1
17	LAM	8	0	0.000692807	0
18	EUR	7	1	0.00030901	0
19	EUR	7	1	0.000355239	1
20	SEA-AUS	5	0	0.000766491	0
21	NAM	9	1	0.000526506	1
22	LAM	8	1	0.000730726	1
23	EUR	7	1	0.000383659	1
24	EUR	2	0	0.000356336	0
25	LAM	3	0	0.000763977	0
26	SEA-AUS	10	1	0.000670386	1
27	SEA-AUS	5	0	0.000680653	0
28	NAM	4	0	0.000533693	0
29	LAM	8	1	0.000769293	1
30	SEA-AUS	10	1	0.000649157	1
31	EUR	7	1	0.000417264	1
32	NAM	4	0	0.000520948	0
33	EUR	7	1	0.000447675	1
34	AFR	6	0	0.000768308	1
35	LAM	8	1	0.000624553	1
36	LAM	3	0	0.000741128	0
37	SEA-AUS	10	1	0.000627337	1
38	SEA-AUS	5	0	0.000768305	0
39	EUR	7	1	0.000366741	1
40	AFR	1	0	0.000767917	0
41	EUR	7	1	0.000394689	1
42	NAM	4	0	0.000657439	0
43	SEA-AUS	10	1	0.000768368	1
44	EUR	7	1	0.00032961	1
45	EUR	7	1	0.000371195	1
46	AFR	1	0	0.000740774	0
47	LAM	3	0	0.00076806	0
48	SEA-AUS	5	0	0.000769127	0
49	LAM	3	0	0.000765903	0
50	SEA-AUS	10	1	0.000650643	1
51	SEA-AUS	10	1	0.000768301	1
52	SEA-AUS	5	0	0.000769316	0
53	LAM	3	0	0.000628745	0
54	SEA-AUS	5	0	0.000737975	0
55	NAM	4	0	0.000631852	0
