Region	Stratum	Area_km2	Sample_size
AFR	1	595255.0128	134
EUR	2	332992.9026	100
LAM	3	946369.3351	213
NAM	4	486272.5356	109
SEA-AUS	5	669855.4746	150
AFR	6	14491.30271	100
EUR	7	682940.3741	153
LAM	8	147704.5099	100
NAM	9	414733.6127	100
SEA-AUS	10	161635.388	100
AFR	11	70476.74756	100
EUR	12	790198.004	100
LAM	13	534656.6126	100
NAM	14	424273.227	100
SEA-AUS	15	288070.3786	100
AFR	16	31553742.04	100
EUR	17	32938702.83	100
LAM	18	18532207.65	100
NAM	19	16344714.45	100
SEA-AUS	20	22511671.57	100
